id;code;date_debut;date_fin;description
1;open-source;2020-09-19T17:49:37;2020-09-20T07:03:23;Integration Awesome Granite Pants content
2;Soft Internal;2020-09-19T23:14:37;2020-09-20T08:59:37;payment
3;Guernsey;2020-09-19T21:37:51;2020-09-20T11:32:19;overriding EXE
4;program Sleek Frozen Ball;2020-09-20T03:24:36;2020-09-20T04:04:54;gold Facilitator
5;connecting;2020-09-20T10:02:52;2020-09-19T16:59:26;niches envisioneer Licensed Cotton Pizza
6;Orchestrator;2020-09-20T02:54:32;2020-09-20T03:33:26;leading-edge invoice Mandatory
7;withdrawal e-tailers;2020-09-19T13:08:14;2020-09-19T20:27:29;synergies Rustic calculate
8;deposit Coordinator;2020-09-19T16:03:29;2020-09-20T02:06:39;maximized Germany applications
9;District;2020-09-20T00:00:14;2020-09-20T03:57:41;robust parsing
10;AGP Beauty Fiji Dollar;2020-09-20T00:39:27;2020-09-20T08:35:03;AGP Bedfordshire
